444400,222314,1
444400,222282,2
444400,222266,3
444401,222282,1
444401,222256,2
444401,222262,3
444402,222256,3
444402,222306,3
444402,222250,3
444403,222298,3
444403,222236,4
444403,222300,4
444404,222302,1
444404,222282,1
444404,222268,1
444405,222316,1
444405,222232,1
444405,222298,2
444406,222258,2
444406,222244,2
444406,222308,2
444407,222290,2
444407,222244,2
444408,222310,2
444408,222248,3
444408,222300,3
444409,222274,1
444409,222328,3
444409,222234,1
444410,222294,1
444410,222306,1
444410,222230,8
444411,222234,1
444411,222246,3
444411,222258,1
444412,222278,1
444412,222248,5
444412,222246,3
444413,222270,1
444413,222266,1
444413,222298,1
444414,222266,1
444414,222302,2
444414,222310,2
444415,222262,2
444415,222320,2
444415,222254,2
444416,222232,2
444416,222272,2
444416,222320,2
444417,222256,2
444417,222302,2
444417,222276,2
444418,222274,2
444418,222242,9
444418,222308,2
444419,222318,2
444419,222228,9
444419,222306,2
444420,222300,2
444420,222324,9
444420,222328,2
444421,222258,2
444421,222236,2
444421,222324,2
444422,222292,2
444422,222272,1
444423,222324,1
444423,222262,1
444423,222314,1
444424,222306,1
444424,222222,1
444424,222286,1
444425,222328,1
444425,222260,2
444425,222262,2
444426,222258,2
444426,222256,2
444426,222254,2
444427,222310,2
444427,222304,2
444427,222312,1
444428,222264,2
444428,222262,1
444428,222226,1
444429,222308,2
444429,222316,1
444429,222270,2
444430,222288,2
444430,222280,2
444430,222300,2
444431,222310,2
444431,222238,2
444431,222246,2
444432,222270,2
444432,222302,2
444432,222300,2
444433,222268,2
444433,222322,2
444433,222314,2
444434,222318,2
444434,222308,2
444434,222276,2
444435,222274,2
444435,222300,2
444435,222312,2
444436,222284,2
444436,222278,2
444436,222238,2
444437,222282,2
444437,222326,2
444437,222286,2
444438,222222,2
444438,222242,2
444438,222276,2
444439,222244,2
444439,222324,2
444439,222254,2
444440,222284,1
444440,222306,1
444440,222246,1
444441,222290,1
444441,222312,1
444441,222236,1
444442,222328,1
444442,222286,1
444442,222310,1
444443,222286,1
444443,222248,1
444443,222322,1
444444,222306,1
444444,222254,1
444444,222282,1
444445,222282,8
444445,222238,2
444445,222250,2
444446,222302,2
444446,222246,8
444446,222254,1
444447,222276,8
444447,222284,2
444447,222306,4
444448,222276,5
444448,222240,5
444448,222262,5
444449,222286,5
444449,222224,5
444449,222316,5
444450,222282,6
444450,222324,6
444450,222292,6
444451,222266,6
444451,222226,6
444451,222240,6
444452,222258,7
444452,222294,7
444452,222300,7
444453,222254,7
444453,222264,7
444453,222296,8
444454,222290,8
444454,222324,8
444455,222222,8
444455,222328,8
444455,222236,8
444456,222274,9
444456,222222,9
444456,222312,9
444457,222302,9
444457,222224,9
444457,222316,9
444458,222300,10
444458,222242,10
444458,222320,10
444459,222302,10
444459,222312,10
444459,222276,10
444460,222240,11
444460,222294,1
444460,222260,11
444461,222244,1
444461,222316,1
444461,222300,1
444462,222248,1
444462,222330,1
444462,222328,11
444463,222276,1
444463,222322,2
444463,222284,2
